id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
78bcWFqyuhOrC8wnkpgcft,69,0.232,0.636,9,-5.551,1,0.052,0.0204,0.000509,0.111,0.107,172.345,223256,4
6klpXs2uAjagnZMFkt4qkl,70,0.281,0.139,5,-14.392,1,0.0305,0.829,0,0.0725,0.169,92.64,224240,4
60TThBDrPpek5k520l0W0L,70,0.462,0.599,11,-5.735,0,0.0375,0.000278,0.000441,0.0909,0.173,123.938,294066,4
7zKlSAsmB3p5959tsmLeqn,66,0.769,0.678,5,-3.725,1,0.0315,0.427,8.04e-06,0.0939,0.581,106.951,179907,4
2qPUnoasNe4Ep43emVXEig,74,0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,211160,4
5uHYcK0nbEYgRaFTY5BqnP,68,0.549,0.932,8,-4.11,0,0.343,0.0127,0,0.347,0.787,82.439,196133,4
030OCtLMrljNhp8OWHBWW3,70,0.59,0.698,11,-4.262,1,0.0286,0.000176,0,0.107,0.352,95.975,224093,4
4o6k1XHlrIZay8v1m5VU83,70,0.373,0.903,10,-4.49,1,0.083,0.00077,5.86e-06,0.244,0.43,109.121,263080,3
4a9i7rCLfPjbS1sNamZeQN,67,0.543,0.808,10,-5.484,1,0.0407,7.19e-05,0.00336,0.114,0.472,95.19,201667,4
0kOG4bwpKgRlcJw1NA6csR,65,0.476,0.652,9,-5.783,1,0.0277,0.0981,0,0.0923,0.557,145.356,252480,4
2nAHmQV9WKA6c1emQilxih,65,0.473,0.423,0,-9.065,1,0.0294,0.67,0,0.149,0.458,170.035,234400,4
6Ozp6ac86CSHMik8lbvJuM,65,0.535,0.725,10,-5.108,1,0.0275,0.0203,1.45e-05,0.176,0.292,78.489,217387,4
40i81AcCCxiVEFUWElcjZC,68,0.387,0.929,7,-4.825,0,0.161,0.00238,7.22e-06,0.314,0.591,180.359,198080,4
17X2tSzibD9n9QRjdExcWT,65,0.487,0.736,7,-3.269,1,0.0326,0.069,0,0.114,0.184,81.587,218200,4
4SE4yewyGpOYfxfx59Yjc5,70,0.679,0.908,8,-3.411,1,0.202,0.234,0,0.0821,0.687,85.918,279013,4
25nzKGDiua1lE9Qo5V19GL,69,0.579,0.865,6,-4.692,1,0.0302,5.63e-05,0.000221,0.649,0.358,104.99,246600,4
12PNcnMsjsZ3eHm62t8hiy,70,0.545,0.781,10,-3.616,1,0.185,0.0139,0,0.161,0.277,150.097,232507,4
3pYDZTJM2tVBUhIRifWVzI,69,0.753,0.729,11,-3.862,0,0.0392,0.00334,5.66e-05,0.073,0.812,120.013,219973,4
7bHT9osSq1rwT2yaImzqCi,71,0.522,0.932,11,-2.87,1,0.255,0.119,0,0.177,0.33,129.473,299507,4
4xInIiKipU1mtUogJ3ZdYr,66,0.588,0.684,1,-5.154,1,0.0288,0.508,0,0.141,0.121,85.997,224867,4
65UCejW01DAovmluVYHWAt,66,0.553,0.619,3,-7.101,1,0.0308,0.479,0,0.123,0.376,183.908,223827,4
0JcKdUGNR7zI4jJDLyYXbi,66,0.702,0.795,1,-4.764,1,0.0568,0.329,0,0.0505,0.836,83.961,247587,4
2A5YAFeEwGi7KlGMYRf5dX,77,0.553,0.798,10,-5.992,1,0.109,0.578,0,0.599,0.378,103.948,107703,4
4JsDHMv5PVO8N07DbDq33r,69,0.349,0.981,2,-3.228,0,0.141,2.58e-05,0,0.343,0.207,160.042,202640,4
7BcOUi4FQ3wBLmNTW0yfCR,65,0.794,0.766,9,-3.894,0,0.0377,0.0135,0,0.0785,0.55,127.006,195873,4
2M9ULmQwTaTGmAdXaXpfz5,75,0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,211160,4
6jg5SRvdGxvJ0DzNV0UqEK,67,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,196813,4
2MVwrvjmcdt4MsYYLCYMt8,64,0.504,0.705,6,-6.179,0,0.0665,0.00121,4.12e-06,0.453,0.567,108.965,211080,4
5oHHMDcVOmPSFrCgdbHPdb,66,0.713,0.772,2,-6.69,1,0.0372,0.208,0,0.211,0.88,125.202,230133,4
6KBYk8OFtod7brGuZ3Y67q,63,0.704,0.81,4,-4.874,0,0.0425,0.000315,0,0.216,0.726,102.98,216200,4
0WCiI0ddWiu5F2kSHgfw5S,70,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,215200,4
5zGqTc1WQUe8XqqdnrpKTV,64,0.612,0.791,6,-3.519,1,0.0291,0.224,0,0.112,0.786,133.977,207040,4
6Slt6WiWnriaqCb8xXb2ZT,67,0.562,0.414,7,-7.032,1,0.349,0.0445,0,0.204,0.474,155.826,212347,4
5BoIP8Eha5hwmRVURkC2Us,63,0.762,0.748,0,-4.15,0,0.033,0.0266,0,0.348,0.851,110.009,199027,4
25GC50HslaaruyrKjdu0lP,69,0.569,0.883,2,-4.41,0,0.0748,8.07e-05,7.74e-05,0.0883,0.373,134.001,291427,4
0T8P86fvSK8kCUJFYPZbIH,67,0.425,0.983,10,-3.437,1,0.114,0.000263,0,0.114,0.513,149.95,197200,4
62EcdBCqjB62CxnhgBkkJT,63,0.401,0.802,9,-5.278,1,0.0294,0.0227,0,0.338,0.849,191.093,289653,4
6bGac1gBHs7kUKihrudMzq,65,0.452,0.964,6,-2.877,1,0.0792,0.00205,5.31e-06,0.205,0.464,144.048,237400,4
1t2hJFgJyUPD2crOafMUEk,65,0.691,0.454,6,-9.13,1,0.0256,0.437,0.00227,0.0783,0.35,135.839,242840,4
7lWUJpax919G4JdaFEVmCy,68,0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,172053,4
5yEPktRqvIhko5QFF3aBhQ,63,0.568,0.761,4,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974,237733,4
5BB0Jzw60KyfSTyjJqtely,70,0.411,0.986,8,-2.522,0,0.0583,0.000264,0.00148,0.371,0.649,165.981,205960,4
3rLIv187BhjyweFe89SgLn,71,0.714,0.833,5,-5.239,1,0.0259,0.00249,0,0.298,0.663,129.964,220920,4
7AqISujIaWcY3h5zrOqt5v,65,0.696,0.875,0,-3.682,1,0.0649,0.134,0,0.159,0.772,127.39,222733,4
0dBW6ZsW8skfvoRfgeerBF,63,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,230707,4
68pE8830rWrd5LSSfKcRqn,75,0.647,0.477,0,-8.157,1,0.0342,0.0374,9.54e-06,0.127,0.793,112.041,182880,4
4ZlQzskKkK4jsbcqO96luB,68,0.55,0.884,9,-5.508,1,0.0363,0.0867,1.55e-05,0.68,0.549,145.029,222404,4
5gnOGcUA9Thwa611bn3Rp2,66,0.672,0.538,7,-9.187,1,0.0481,0.89,0.389,0.431,0.846,143.001,75524,4
5EhzE6HJaCcLFrf5rPqvpk,77,0.332,0.592,1,-6.127,1,0.0371,0.0824,0,0.109,0.31,170.391,205160,3
1U3BASc885MPCYOzYwOIpO,62,0.646,0.759,10,-4.34,1,0.0314,0.189,0.0977,0.103,0.423,91.999,249067,4
3a6PN6BRB8PP3ms48s7kU1,69,0.601,0.772,0,-4.137,0,0.031,0.181,0.0543,0.0928,0.294,99.445,283573,4
0TCt7OFRdD8PQ6vTRQxNgQ,66,0.604,0.541,1,-7.378,0,0.0915,0.639,0,0.169,0.892,134.326,191413,4
3eR3lWuvQqOzhTn91nbRCa,66,0.554,0.824,5,-5.897,1,0.0496,0.0128,0.000802,0.476,0.963,168.956,163280,4
2Adn2LNgkHMH5TelQVAu4n,65,0.666,0.87,11,-5.004,0,0.246,0.203,0,0.0851,0.9,160.014,243920,4
1rKBOL9kJfX1Y4C3QaOvRH,65,0.614,0.857,1,-4.171,0,0.111,0.0987,0,0.177,0.677,164.146,201040,4
0llA0pYA6GpGk7fTjew0wO,63,0.547,0.741,0,-8.127,1,0.163,0.822,0,0.117,0.637,82.589,225360,4
7gUpO6td4OOnu0Lf9vhcIV,63,0.683,0.789,8,-6.132,0,0.0353,0.0283,0.0492,0.112,0.809,120.013,211800,4
3JTMWdhcJPiegDSe7SvZS3,68,0.71,0.68,1,-4.676,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,194253,4
59kNaCxnyX7Ezt1m6KxGLY,64,0.647,0.834,0,-5.321,1,0.0326,0.00572,0.000689,0.182,0.641,119.925,164187,4
6MDTpYxPFL0wtFd0pjfKws,62,0.531,0.542,8,-7.721,1,0.0432,0.356,0,0.119,0.726,171.878,200200,4
2e9EZ2V5QGGZPMJacO3y0Y,63,0.705,0.702,0,-4.783,0,0.108,0.138,0,0.364,0.771,140.059,250493,4
4JEylZNW8SbO4zUyfVrpb7,72,0.79,0.649,5,-7.507,1,0.0265,0.166,8.87e-05,0.092,0.954,113.798,244427,4
6d9IiDcFxtFVIvt9pCqyGH,62,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42e-06,0.163,0.374,114.987,260933,4
3BbS4oLUDNOLctshheQucc,64,0.522,0.725,5,-5.184,0,0.302,0.554,0,0.799,0.81,108.364,175783,4
1wFRkVclQWfMQQcaVLjmBE,65,0.425,0.936,8,-5.52,0,0.0829,2.1e-05,0,0.926,0.417,158.046,219107,4
6PmjWl0phNxc0R5OwkDdiZ,67,0.539,0.424,11,-9.361,1,0.0406,0.317,0,0.108,0.17,118.071,256867,4
7h70RTLbnhDyPGXjl3iEhh,65,0.581,0.717,4,-4.433,1,0.0318,0.0298,0.000186,0.243,0.316,107.884,236440,4
2MWOqewf5j0qf2b6S5J6cS,68,0.461,0.267,0,-8.514,1,0.0278,0.834,2.03e-05,0.107,0.481,87.918,205453,4
6IfMD01z39P15HKezjdaMP,74,0.878,0.555,0,-7.301,0,0.0343,0.77,0,0.0663,0.928,132.936,191107,4
0158TMiGmHyibaDeaUKayX,63,0.635,0.758,7,-5.772,1,0.0243,0.00643,0,0.229,0.322,113.002,209253,4
0KtKac3tvjeGjg6FXcUy7X,61,0.754,0.59,4,-6.525,0,0.046,0.192,0,0.11,0.784,147.107,190693,4
1w6kG4Rc29m5EherbvpkF5,66,0.422,0.52,11,-10.231,1,0.343,0.00204,0.00413,0.411,0.184,189.63,245253,4
0jqblvsI9LBY4irmLVqqEO,67,0.567,0.946,2,-3.973,0,0.0935,0.00267,0,0.0567,0.699,94.985,245573,4
7JbMsR4rZh6J77LNafur8U,61,0.895,0.792,2,-5.923,0,0.0769,0.0386,0,0.0547,0.941,96.018,190493,4
1U4mweNwisxNj23ffuC9gO,62,0.426,0.862,2,-5.979,1,0.597,0.0813,0,0.34,0.332,100.3,305520,5
5cwN1htZyoWqZCc33f3RfE,66,0.61,0.638,0,-6.574,1,0.0238,0.0672,6.59e-06,0.283,0.603,79.955,232200,4
4kkeuVl6gF3RMqE4Nn5W3E,63,0.602,0.863,5,-5.423,0,0.0773,0.0178,0,0.389,0.732,150.183,206373,4
0o9Vr0BGIQPh32staLHcuU,66,0.569,0.721,10,-5.889,1,0.0375,0.102,3.38e-05,0.205,0.927,180.06,187524,4
0sHW1jXe6Sou3437gJQNGA,70,0.668,0.886,0,-3.474,1,0.117,0.0417,0,0.459,0.503,142.002,278640,4
1By2VQkUN0Frd8mKNV5NYC,62,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37e-06,0.36,0.635,145.821,217160,4
3ueoTboomKEQpI3r9z47Kg,70,0.561,0.653,7,-4.918,1,0.0349,0.0418,0,0.347,0.496,91.961,213720,4
